,country_name,years,pct_internet_users,%_change
93,United States,2008,74.0,-0.013333333333333308
98,United States,2009,71.0,-0.04054054054054057
103,United States,2010,71.69,0.009718309859154894
108,United States,2011,69.7295,-0.027346910308271632
113,United States,2012,74.7,0.07128259918685775
118,United States,2013,71.4,-0.04417670682730923
123,United States,2014,73.0,0.022408963585434094
128,United States,2015,74.5542,0.02129041095890405
133,United States,2016,85.5444,0.1474122182251303
138,United States,2017,87.2749,0.020229261062091775
143,United States,2018,88.4989,0.014024650844630004
148,United States,2019,89.4303,0.01052442459736791
153,United States,2020,96.5768,0.07991139468390474
158,United States,2021,96.7792,0.0020957414202997793
163,United States,2022,97.1299,0.00362371253327165
168,United States,2023,81.8984,-0.1568157693974771
4,Viet Nam,1990,0.0,-1.0
9,Viet Nam,1991,0.0,
14,Viet Nam,1992,0.0,
19,Viet Nam,1993,0.0,
24,Viet Nam,1994,0.0,
29,Viet Nam,1995,0.0,
34,Viet Nam,1996,0.000134813,inf
39,Viet Nam,1997,0.003981962,28.53692893118616
44,Viet Nam,1998,0.013078543,2.284446963582274
49,Viet Nam,1999,0.128926663,8.857876599862845
54,Viet Nam,2000,0.254248,0.9720358387000212
59,Viet Nam,2001,1.26565,3.9780135930272804
64,Viet Nam,2002,1.855,0.4656500612333585
69,Viet Nam,2003,3.78028,1.0378867924528303
74,Viet Nam,2004,7.64241,1.0216518353137864
79,Viet Nam,2005,12.7399,0.6670003310474053
84,Viet Nam,2006,17.2546,0.3543748381070495
89,Viet Nam,2007,20.7554,0.20289082331668085
94,Viet Nam,2008,23.92,0.15247116413078032
99,Viet Nam,2009,26.55,0.10994983277591963
104,Viet Nam,2010,30.65,0.15442561205273053
109,Viet Nam,2011,35.07,0.14420880913539968
114,Viet Nam,2012,36.8,0.04932991160536071
119,Viet Nam,2013,38.5,0.04619565217391308
124,Viet Nam,2014,41.0,0.06493506493506485
129,Viet Nam,2015,45.0,0.09756097560975618
134,Viet Nam,2016,53.0,0.1777777777777778
139,Viet Nam,2017,58.14,0.09698113207547165
144,Viet Nam,2018,69.8479,0.20137426900584776
149,Viet Nam,2019,68.6616,-0.016984046764469518
154,Viet Nam,2020,70.3,0.023861954862688828
159,Viet Nam,2021,74.21,0.05561877667140824
164,Viet Nam,2022,78.59,0.05902169518932765
169,Viet Nam,2023,78.08,-0.006489375238580064
